,hours
2022-12,2.28
2022-13,10.99
2022-14,12.73
2022-15,12.36
2022-16,16.78
2022-17,22.24
2022-18,28.8
2022-19,20.77
2022-20,18.42
2022-21,18.06
2022-22,17.1
2022-23,22.68
2022-24,18.28
2022-25,31.69
2022-26,18.51
2022-27,0.0
2022-28,16.36
2022-29,18.61
2022-30,16.97
2022-31,17.53
2022-32,27.94
2022-33,23.33
2022-34,17.55
2022-35,24.61
2022-36,11.86
2022-37,21.99
2022-38,19.86
2022-39,11.87
2022-40,12.3
2022-41,9.37
2022-42,24.21
2022-43,17.83
2022-44,23.33
2022-45,17.72
2022-46,18.31
2022-47,13.75
2022-48,9.2
2022-49,18.28
2022-50,14.89
2022-51,21.03
2022-52,20.97
2023-0,11.57
2023-1,10.99
2023-2,15.19
2023-3,11.14
2023-4,11.65
2023-5,14.24
2023-6,4.52
2023-7,0.0
2023-8,6.3
2023-9,14.85
2023-10,10.85
2023-11,12.97
2023-12,10.39
2023-13,9.37
2023-14,19.33
2023-15,13.95
2023-16,11.77
2023-17,12.45
2023-18,16.89
2023-19,10.77
2023-20,13.77
2023-21,13.17
2023-22,10.96
2023-23,11.2
2023-24,16.33
2023-25,10.88
2023-26,10.23
2023-27,18.15
2023-28,7.96
2023-29,6.33
2023-30,9.41
2023-31,7.65
2023-32,13.21
2023-33,15.0
2023-34,9.25
2023-35,2.17
2023-36,7.82
2023-37,3.15
2023-38,5.62
2023-39,6.5
2023-40,2.45
2023-41,4.06
2023-42,6.78
2023-43,9.34
2023-44,9.52
2023-45,3.74
2023-46,7.65
2023-47,14.4
2023-48,8.97
2023-49,8.72
2023-50,0.0
2023-51,1.74
2023-52,0.0
2024-0,8.2
2024-1,4.14
2024-2,3.34
2024-3,1.93
2024-4,7.25
2024-5,4.07
2024-6,10.65
2024-7,9.68
2024-8,7.54
2024-9,5.68
2024-10,1.28
2024-11,1.92
2024-12,5.12
2024-13,14.03
2024-14,3.82
2024-15,7.94
2024-16,10.43
2024-17,21.29
2024-18,20.58
2024-19,15.24
2024-20,10.77
2024-21,10.46
2024-22,10.12
2024-23,6.07
