,hours
2022-12,0.96
2022-13,16.99
2022-14,15.94
2022-15,22.68
2022-16,26.22
2022-17,42.15
2022-18,48.62
2022-19,21.72
2022-20,31.57
2022-21,40.31
2022-22,27.78
2022-23,37.71
2022-24,47.2
2022-25,55.43
2022-26,45.15
2022-27,56.82
2022-28,54.58
2022-29,47.84
2022-30,32.2
2022-31,47.73
2022-32,53.91
2022-33,39.44
2022-34,48.6
2022-35,43.33
2022-36,59.19
2022-37,67.3
2022-38,56.19
2022-39,46.2
2022-40,46.1
2022-41,64.01
2022-42,55.24
2022-43,52.0
2022-44,47.3
2022-45,48.2
2022-46,61.61
2022-47,56.07
2022-48,46.21
2022-49,53.75
2022-50,44.59
2022-51,56.5
2022-52,58.63
2023-0,64.79
2023-1,51.06
2023-2,55.72
2023-3,39.81
2023-4,29.33
2023-5,44.53
2023-6,50.91
2023-7,42.73
2023-8,59.46
2023-9,52.74
2023-10,48.13
2023-11,35.69
2023-12,46.49
2023-13,54.43
2023-14,33.0
2023-15,15.45
2023-16,36.43
2023-17,48.62
2023-18,50.8
2023-19,37.82
2023-20,41.24
2023-21,54.26
2023-22,29.7
2023-23,63.69
2023-24,56.15
2023-25,49.02
2023-26,39.7
2023-27,54.88
2023-28,41.66
2023-29,45.59
2023-30,45.28
2023-31,34.73
2023-32,38.09
2023-33,28.21
2023-34,42.54
2023-35,33.11
2023-36,35.27
2023-37,44.17
2023-38,54.13
2023-39,43.26
2023-40,31.73
2023-41,29.72
2023-42,30.36
2023-43,30.71
2023-44,60.9
2023-45,56.81
2023-46,39.45
2023-47,38.89
2023-48,35.12
2023-49,36.06
2023-50,3.88
2023-51,35.64
2023-52,1.75
2024-0,42.89
2024-1,37.58
2024-2,43.41
2024-3,54.41
2024-4,34.18
2024-5,34.78
2024-6,31.93
2024-7,42.51
2024-8,34.8
2024-9,33.14
2024-10,25.9
2024-11,20.14
2024-12,41.84
2024-13,35.67
2024-14,38.21
2024-15,13.86
2024-16,25.34
2024-17,52.11
2024-18,28.83
2024-19,56.37
2024-20,26.61
2024-21,39.01
2024-22,24.54
2024-23,27.35
2024-24,34.3
2024-25,28.31
2024-26,20.05
2024-27,18.07
2024-28,3.87
2024-29,29.58
2024-30,26.69
2024-31,18.13
2024-32,27.32
2024-33,35.11
2024-34,35.53
2024-35,32.32
2024-36,37.34
2024-37,22.44
2024-38,33.89
2024-39,43.15
2024-40,29.31
2024-41,49.18
2024-42,46.1
2024-43,21.12
2024-44,29.1
2024-45,11.43
2024-46,9.74
2024-47,21.86
2024-48,34.2
2024-49,36.2
2024-50,40.75
2024-51,28.36
2024-52,16.53
2025-0,17.32
2025-1,32.15
2025-2,30.33
2025-3,37.0
2025-4,27.61
2025-5,45.89
2025-6,28.88
2025-7,30.26
2025-8,23.48
2025-9,5.46
2025-10,6.99
2025-11,5.98
2025-12,18.12
2025-13,5.25
2025-14,28.5
2025-15,36.78
2025-16,27.78
2025-17,27.76
2025-18,20.09
2025-19,23.32
2025-20,24.09
2025-21,18.77
2025-22,21.61
2025-23,21.41
2025-24,24.19
2025-25,17.55
2025-26,15.57
2025-27,36.25
2025-28,17.79
2025-29,19.86
2025-30,18.05
2025-31,19.82
2025-32,4.92
2025-33,17.21
2025-34,14.05
2025-35,17.6
2025-36,20.4
2025-37,8.06
2025-38,14.76
2025-39,15.54
2025-40,20.02
2025-41,29.09
2025-42,17.77
2025-43,8.68
2025-44,10.97
2025-45,4.02
2025-46,0.0
2025-47,0.0
2025-48,0.0
2025-49,0.0
