,hours
2024-24,0.72
2024-25,22.14
2024-26,18.91
2024-27,14.14
2024-28,22.39
2024-29,21.74
2024-30,25.01
2024-31,18.24
2024-32,19.47
2024-33,16.32
2024-34,21.04
2024-35,39.39
2024-36,23.01
2024-37,15.82
2024-38,20.95
2024-39,12.51
2024-40,26.5
2024-41,17.08
2024-42,14.73
2024-43,20.67
2024-44,15.84
2024-45,20.08
2024-46,18.84
2024-47,15.62
2024-48,23.45
2024-49,11.64
2024-50,11.96
2024-51,10.62
2024-52,0.0
2025-0,4.99
2025-1,13.73
2025-2,17.32
2025-3,21.24
2025-4,18.51
2025-5,19.64
2025-6,25.33
2025-7,16.08
2025-8,15.32
2025-9,3.6
2025-10,0.0
2025-11,10.82
2025-12,18.82
2025-13,24.27
2025-14,18.51
2025-15,16.03
2025-16,19.39
2025-17,20.27
2025-18,38.31
2025-19,22.77
2025-20,0.0
2025-21,26.44
2025-22,22.26
2025-23,17.43
2025-24,9.17
2025-25,4.18
2025-26,6.16
2025-27,17.59
2025-28,9.57
2025-29,13.88
2025-30,14.32
2025-31,5.54
2025-32,3.83
2025-33,0.0
2025-34,3.54
2025-35,21.03
2025-36,24.06
2025-37,21.01
2025-38,24.6
2025-39,30.64
2025-40,18.84
2025-41,28.97
2025-42,19.85
2025-43,32.9
2025-44,11.9
2025-45,8.24
2025-46,35.07
2025-47,28.69
2025-48,0.0
2025-49,0.0
