,hours
2023-36,9.32
2023-37,7.31
2023-38,16.9
2023-39,14.68
2023-40,14.68
2023-41,19.38
2023-42,20.22
2023-43,10.09
2023-44,0.0
2023-45,1.64
2023-46,11.54
2023-47,14.23
2023-48,16.25
2023-49,12.63
2023-50,9.48
2023-51,9.91
2023-52,1.7
2024-0,1.44
2024-1,6.87
2024-2,11.73
2024-3,15.33
2024-4,7.52
2024-5,17.14
2024-6,15.08
2024-7,12.72
2024-8,9.66
2024-9,16.78
2024-10,8.68
2024-11,5.79
2024-12,8.43
2024-13,16.44
2024-14,10.5
2024-15,9.37
2024-16,18.46
2024-17,7.73
2024-18,3.1
2024-19,13.57
2024-20,9.57
2024-21,14.02
2024-22,8.7
2024-23,7.05
2024-24,8.2
2024-25,10.49
2024-26,10.03
2024-27,9.81
2024-28,6.66
2024-29,3.59
2024-30,18.12
2024-31,4.17
2024-32,12.58
2024-33,2.08
2024-34,10.19
2024-35,6.54
2024-36,5.36
2024-37,6.89
2024-38,8.1
2024-39,3.16
2024-40,11.62
2024-41,2.26
2024-42,11.21
2024-43,5.77
2024-44,7.12
2024-45,9.92
2024-46,6.57
2024-47,2.72
2024-48,4.3
2024-49,2.46
2024-50,4.9
2024-51,6.04
2024-52,0.0
2025-0,4.39
2025-1,4.02
2025-2,6.33
2025-3,4.11
2025-4,6.57
2025-5,4.38
2025-6,3.72
2025-7,1.41
2025-8,8.59
2025-9,8.26
2025-10,6.69
2025-11,0.0
