,hours
2021-34,3.96
2021-35,7.93
2021-36,10.23
2021-37,8.31
2021-38,9.49
2021-39,8.43
2021-40,13.08
2021-41,4.64
2021-42,8.03
2021-43,15.76
2021-44,4.87
2021-45,13.81
2021-46,9.53
2021-47,14.2
2021-48,15.5
2021-49,21.15
2021-50,7.57
2021-51,4.35
2021-52,9.65
2022-0,0.84
2022-1,11.32
2022-2,9.24
2022-3,7.4
2022-4,10.29
2022-5,11.13
2022-6,15.91
2022-7,4.64
2022-8,8.37
2022-9,2.09
2022-10,6.16
2022-11,20.9
2022-12,11.99
2022-13,6.23
2022-14,6.94
2022-15,14.86
2022-16,16.16
2022-17,16.81
2022-18,11.26
2022-19,5.25
2022-20,4.8
2022-21,4.91
2022-22,0.0
2022-23,0.0
2022-24,14.92
2022-25,2.79
2022-26,18.37
2022-27,10.74
2022-28,11.66
2022-29,11.67
2022-30,13.57
2022-31,12.97
2022-32,6.03
2022-33,16.92
2022-34,8.69
2022-35,10.34
2022-36,11.68
2022-37,4.88
2022-38,6.75
2022-39,11.75
2022-40,17.76
2022-41,14.66
2022-42,10.7
2022-43,15.53
2022-44,8.14
2022-45,15.82
2022-46,11.02
2022-47,11.94
2022-48,8.69
2022-49,16.34
2022-50,20.21
2022-51,8.27
2022-52,2.61
2023-0,3.29
2023-1,13.38
2023-2,11.07
2023-3,18.09
2023-4,4.63
2023-5,4.01
2023-6,6.47
2023-7,0.0
2023-8,2.5
2023-9,4.37
2023-10,6.16
2023-11,16.68
2023-12,0.0
2023-13,13.31
2023-14,11.84
2023-15,7.44
2023-16,7.31
2023-17,2.26
2023-18,19.62
2023-19,9.86
2023-20,2.91
2023-21,1.5
2023-22,0.0
2023-23,0.0
2023-24,4.65
2023-25,9.41
2023-26,6.08
2023-27,4.97
2023-28,0.0
2023-29,5.91
2023-30,4.61
2023-31,7.4
2023-32,1.95
2023-33,0.0
2023-34,0.0
2023-35,0.0
