,hours
2019-4,0.9
2019-5,0.0
2019-6,0.96
2019-7,0.0
2019-8,1.85
2019-9,0.0
2019-10,0.88
2019-11,0.0
2019-12,1.95
2019-13,0.0
2019-14,2.04
2019-15,1.03
2019-16,1.88
2019-17,0.0
2019-18,0.0
2019-19,0.99
2019-20,1.0
2019-21,2.07
2019-22,0.0
2019-23,0.97
2019-24,0.0
2019-25,0.0
2019-26,1.42
2019-27,0.94
2019-28,0.0
2019-29,1.01
2019-30,1.13
2019-31,0.0
2019-32,1.15
2019-33,0.9
2019-34,0.0
2019-35,1.1
2019-36,0.97
2019-37,0.0
2019-38,0.0
2019-39,1.87
2019-40,0.0
2019-41,2.35
2019-42,1.62
2019-43,1.21
2019-44,0.0
2019-45,5.67
2019-46,0.0
2019-47,1.79
2019-48,1.17
2019-49,0.0
2019-50,1.17
2019-51,2.86
2019-52,0.0
2020-0,0.0
2020-1,0.0
2020-2,0.0
2020-3,0.0
2020-4,0.0
2020-5,0.0
2020-6,0.0
2020-7,0.0
2020-8,1.41
2020-9,0.0
2020-10,1.14
2020-11,3.04
2020-12,1.03
2020-13,0.0
2020-14,0.0
2020-15,0.0
2020-16,1.22
2020-17,4.54
2020-18,11.0
2020-19,0.0
2020-20,2.0
2020-21,5.73
2020-22,5.2
2020-23,0.0
2020-24,0.0
2020-25,1.49
2020-26,1.26
2020-27,2.03
2020-28,0.0
2020-29,1.88
2020-30,1.03
2020-31,0.0
2020-32,0.0
2020-33,1.36
2020-34,2.37
2020-35,0.0
2020-36,0.0
2020-37,0.0
2020-38,2.52
2020-39,0.0
2020-40,1.68
2020-41,0.0
2020-42,1.21
2020-43,0.0
2020-44,0.0
2020-45,0.0
2020-46,1.37
2020-47,1.47
2020-48,8.3
2020-49,2.11
2020-50,0.0
2020-51,0.0
2020-52,0.0
2021-0,0.0
2021-1,1.55
2021-2,1.3
2021-3,1.47
2021-4,0.0
2021-5,5.18
2021-6,1.63
2021-7,2.06
2021-8,1.25
2021-9,3.43
2021-10,3.2
2021-11,1.74
2021-12,3.35
2021-13,1.74
2021-14,1.35
2021-15,4.69
2021-16,1.08
2021-17,2.21
2021-18,5.14
2021-19,0.0
2021-20,6.12
2021-21,1.87
2021-22,4.91
2021-23,1.02
2021-24,6.01
2021-25,1.35
2021-26,4.12
2021-27,1.48
2021-28,1.56
2021-29,1.5
2021-30,1.2
2021-31,1.62
2021-32,1.64
2021-33,0.0
2021-34,3.9
2021-35,0.0
2021-36,11.15
2021-37,3.04
2021-38,0.0
2021-39,0.0
2021-40,0.0
2021-41,0.0
2021-42,0.0
2021-43,0.0
2021-44,0.0
2021-45,0.0
2021-46,1.29
2021-47,0.0
2021-48,0.0
2021-49,0.0
2021-50,0.0
2021-51,1.48
2021-52,0.0
2022-0,0.0
2022-1,1.55
2022-2,0.0
2022-3,0.0
2022-4,0.98
2022-5,0.0
2022-6,7.09
2022-7,1.47
2022-8,1.9
2022-9,0.0
2022-10,0.0
2022-11,0.0
2022-12,1.77
2022-13,1.0
2022-14,0.0
2022-15,1.18
2022-16,0.0
2022-17,0.0
2022-18,2.18
2022-19,0.0
2022-20,1.01
2022-21,0.0
2022-22,0.0
2022-23,0.0
2022-24,1.01
2022-25,1.56
2022-26,1.0
2022-27,1.07
2022-28,0.0
2022-29,0.0
2022-30,0.0
2022-31,1.0
2022-32,1.02
2022-33,1.23
2022-34,1.11
2022-35,0.0
2022-36,0.0
2022-37,1.04
2022-38,1.01
2022-39,0.0
2022-40,1.09
2022-41,1.12
2022-42,0.0
2022-43,1.02
2022-44,0.0
2022-45,0.99
2022-46,1.0
2022-47,1.05
2022-48,1.83
2022-49,0.0
2022-50,0.0
2022-51,1.08
2022-52,0.34
2023-0,1.0
2023-1,0.0
2023-2,4.69
2023-3,2.62
2023-4,5.16
2023-5,1.86
2023-6,3.26
2023-7,4.31
2023-8,0.0
2023-9,2.96
2023-10,2.6
2023-11,8.86
2023-12,3.93
2023-13,2.8
2023-14,6.21
2023-15,4.23
2023-16,5.86
2023-17,2.94
2023-18,3.22
2023-19,5.44
2023-20,8.55
2023-21,3.97
2023-22,5.49
2023-23,3.66
2023-24,2.89
2023-25,4.54
2023-26,5.03
2023-27,0.0
2023-28,2.74
2023-29,4.87
2023-30,6.46
2023-31,10.45
2023-32,7.38
2023-33,8.59
2023-34,4.26
2023-35,3.62
2023-36,5.69
2023-37,4.01
2023-38,2.53
2023-39,5.79
2023-40,3.63
2023-41,1.58
2023-42,3.43
2023-43,8.6
2023-44,3.12
2023-45,3.98
2023-46,0.0
2023-47,2.6
2023-48,17.16
2023-49,6.76
2023-50,9.32
2023-51,8.15
2023-52,0.0
2024-0,12.62
2024-1,1.83
2024-2,7.85
2024-3,5.56
2024-4,16.0
2024-5,10.09
2024-6,9.07
2024-7,4.88
2024-8,7.07
2024-9,3.6
2024-10,12.24
2024-11,12.24
2024-12,9.98
2024-13,14.32
2024-14,9.28
2024-15,17.06
2024-16,19.92
2024-17,9.74
2024-18,8.98
2024-19,22.93
2024-20,8.12
2024-21,7.84
2024-22,4.85
2024-23,25.52
2024-24,11.7
2024-25,5.36
2024-26,9.88
2024-27,9.71
2024-28,4.65
2024-29,11.01
2024-30,11.23
2024-31,13.8
2024-32,3.22
2024-33,6.97
2024-34,3.6
2024-35,6.97
2024-36,11.04
2024-37,21.13
2024-38,10.99
2024-39,7.49
2024-40,15.66
2024-41,6.55
2024-42,2.86
2024-43,32.87
2024-44,25.15
2024-45,17.65
2024-46,16.69
2024-47,8.0
2024-48,9.97
2024-49,9.74
2024-50,6.26
2024-51,12.0
2024-52,2.97
2025-0,6.84
2025-1,8.66
2025-2,13.59
2025-3,13.24
2025-4,0.0
