,hours
2021-48,15.06
2021-49,17.76
2021-50,40.71
2021-51,23.34
2021-52,19.8
2022-0,2.66
2022-1,14.09
2022-2,1.24
2022-3,0.59
2022-4,15.35
2022-5,23.95
2022-6,29.68
2022-7,18.04
2022-8,31.63
2022-9,27.22
2022-10,22.65
2022-11,14.3
2022-12,16.24
2022-13,22.56
2022-14,16.48
2022-15,24.38
2022-16,32.53
2022-17,17.21
2022-18,16.92
2022-19,13.66
2022-20,15.95
2022-21,8.58
2022-22,16.01
2022-23,16.36
2022-24,4.79
2022-25,6.31
2022-26,8.94
2022-27,12.33
2022-28,11.5
2022-29,0.0
2022-30,9.79
2022-31,5.16
2022-32,7.66
2022-33,10.88
2022-34,4.45
2022-35,8.25
2022-36,12.59
2022-37,12.89
2022-38,10.28
2022-39,17.0
2022-40,16.02
2022-41,11.73
2022-42,23.94
2022-43,22.63
2022-44,18.82
2022-45,21.83
2022-46,20.86
2022-47,18.99
2022-48,12.9
2022-49,16.98
2022-50,21.99
2022-51,15.34
2022-52,10.5
2023-0,14.97
2023-1,6.31
2023-2,13.46
2023-3,14.98
2023-4,14.9
2023-5,17.88
2023-6,20.6
2023-7,10.59
2023-8,17.99
2023-9,12.44
2023-10,8.9
2023-11,10.73
2023-12,8.02
2023-13,13.2
2023-14,5.0
2023-15,14.92
2023-16,5.57
2023-17,10.58
2023-18,11.04
2023-19,7.69
2023-20,15.48
2023-21,9.49
2023-22,3.18
2023-23,0.0
2023-24,3.02
2023-25,0.0
2023-26,9.49
2023-27,9.18
2023-28,7.42
2023-29,7.85
2023-30,10.62
2023-31,8.82
2023-32,11.19
2023-33,8.41
2023-34,8.87
2023-35,12.35
2023-36,8.1
2023-37,16.98
2023-38,11.82
2023-39,5.38
2023-40,13.03
2023-41,4.0
2023-42,17.52
2023-43,12.92
2023-44,7.27
2023-45,6.56
2023-46,6.51
2023-47,7.56
2023-48,6.06
2023-49,0.0
2023-50,9.97
2023-51,8.15
2023-52,0.0
2024-0,4.38
2024-1,0.0
2024-2,0.0
2024-3,12.6
2024-4,6.57
2024-5,19.57
2024-6,20.85
2024-7,6.74
2024-8,12.18
2024-9,7.97
2024-10,18.16
2024-11,14.67
2024-12,11.42
2024-13,17.56
2024-14,11.97
2024-15,14.18
2024-16,13.81
2024-17,20.0
2024-18,13.43
2024-19,17.81
2024-20,17.59
2024-21,8.95
2024-22,11.86
2024-23,12.55
2024-24,8.07
2024-25,16.61
2024-26,12.08
2024-27,12.86
2024-28,12.18
2024-29,20.44
2024-30,6.51
2024-31,17.46
2024-32,12.94
2024-33,0.0
2024-34,13.09
2024-35,7.67
2024-36,3.62
2024-37,10.23
2024-38,4.2
2024-39,7.81
2024-40,17.11
2024-41,11.86
2024-42,20.15
2024-43,12.2
2024-44,24.71
2024-45,10.1
2024-46,11.63
2024-47,9.49
2024-48,0.0
