,hours
2020-49,8.28
2020-50,19.83
2020-51,17.56
2020-52,12.84
2021-0,6.95
2021-1,18.14
2021-2,17.82
2021-3,19.16
2021-4,19.25
2021-5,21.43
2021-6,21.78
2021-7,19.87
2021-8,26.98
2021-9,24.86
2021-10,22.37
2021-11,26.93
2021-12,26.53
2021-13,29.4
2021-14,29.21
2021-15,28.55
2021-16,21.0
2021-17,27.26
2021-18,30.94
2021-19,20.74
2021-20,20.73
2021-21,17.94
2021-22,27.64
2021-23,22.32
2021-24,26.36
2021-25,16.04
2021-26,22.94
2021-27,24.81
2021-28,21.58
2021-29,12.0
2021-30,17.8
2021-31,21.14
2021-32,27.04
2021-33,15.97
2021-34,19.54
2021-35,26.94
2021-36,20.38
2021-37,29.01
2021-38,25.22
2021-39,20.59
2021-40,23.57
2021-41,21.44
2021-42,20.83
2021-43,14.51
2021-44,22.41
2021-45,19.29
2021-46,23.31
2021-47,39.14
2021-48,36.09
2021-49,25.61
2021-50,21.07
2021-51,23.0
2021-52,10.83
2022-0,3.26
2022-1,34.97
2022-2,17.57
2022-3,21.76
2022-4,20.47
2022-5,22.51
2022-6,30.77
2022-7,23.24
2022-8,13.49
2022-9,19.31
2022-10,19.49
2022-11,20.87
2022-12,27.55
2022-13,18.43
2022-14,31.42
2022-15,26.82
2022-16,13.58
2022-17,25.78
2022-18,23.88
2022-19,21.72
2022-20,2.8
2022-21,17.93
2022-22,22.68
2022-23,23.78
2022-24,28.57
2022-25,25.78
2022-26,39.01
2022-27,22.57
2022-28,36.79
2022-29,18.58
2022-30,30.62
2022-31,7.31
2022-32,22.47
2022-33,20.5
2022-34,32.47
2022-35,28.25
2022-36,23.04
2022-37,34.53
2022-38,16.79
2022-39,23.69
2022-40,26.15
2022-41,33.99
2022-42,31.9
2022-43,19.5
2022-44,26.84
2022-45,10.51
2022-46,30.07
2022-47,35.49
2022-48,27.06
2022-49,23.69
2022-50,32.02
2022-51,17.72
2022-52,1.78
2023-0,19.01
2023-1,24.18
2023-2,12.54
2023-3,23.0
2023-4,21.43
2023-5,18.08
2023-6,14.33
2023-7,20.2
2023-8,31.11
2023-9,20.19
2023-10,18.56
2023-11,26.19
2023-12,30.47
2023-13,23.11
2023-14,18.6
2023-15,11.37
2023-16,2.17
2023-17,15.11
2023-18,15.51
2023-19,19.08
2023-20,22.63
2023-21,19.88
2023-22,9.69
2023-23,16.17
2023-24,20.18
2023-25,21.8
2023-26,24.99
2023-27,6.46
2023-28,18.16
2023-29,12.94
2023-30,13.14
2023-31,19.36
2023-32,0.0
2023-33,0.0
2023-34,0.0
2023-35,0.0
