,hours
2020-36,1.22
2020-37,16.1
2020-38,18.01
2020-39,18.99
2020-40,15.78
2020-41,21.79
2020-42,14.47
2020-43,29.06
2020-44,23.92
2020-45,16.76
2020-46,26.31
2020-47,26.39
2020-48,23.03
2020-49,27.16
2020-50,36.5
2020-51,22.13
2020-52,16.14
2021-0,12.56
2021-1,22.76
2021-2,26.49
2021-3,30.54
2021-4,25.65
2021-5,15.08
2021-6,28.55
2021-7,22.11
2021-8,9.53
2021-9,20.52
2021-10,33.96
2021-11,27.34
2021-12,23.88
2021-13,30.69
2021-14,30.31
2021-15,34.77
2021-16,17.67
2021-17,26.31
2021-18,21.1
2021-19,24.57
2021-20,33.54
2021-21,23.54
2021-22,32.49
2021-23,24.72
2021-24,24.33
2021-25,7.76
2021-26,16.29
2021-27,15.85
2021-28,33.68
2021-29,25.6
2021-30,27.4
2021-31,29.23
2021-32,23.93
2021-33,19.37
2021-34,16.39
2021-35,30.11
2021-36,25.83
2021-37,29.29
2021-38,20.18
2021-39,35.23
2021-40,12.71
2021-41,32.15
2021-42,28.04
2021-43,21.1
2021-44,17.53
2021-45,23.44
2021-46,20.56
2021-47,31.31
2021-48,27.1
2021-49,28.15
2021-50,18.7
2021-51,22.04
2021-52,18.11
2022-0,0.98
2022-1,26.44
2022-2,25.84
2022-3,23.64
2022-4,23.45
2022-5,36.51
2022-6,14.72
2022-7,19.38
2022-8,19.32
2022-9,21.75
2022-10,20.59
2022-11,28.29
2022-12,24.63
2022-13,21.55
2022-14,27.43
2022-15,19.55
2022-16,18.89
2022-17,23.75
2022-18,19.6
2022-19,18.33
2022-20,3.72
2022-21,13.39
2022-22,16.56
2022-23,4.2
2022-24,14.96
2022-25,2.67
2022-26,11.84
2022-27,22.23
2022-28,29.97
2022-29,11.92
2022-30,13.58
2022-31,20.44
2022-32,15.83
2022-33,17.02
2022-34,36.14
2022-35,20.15
2022-36,28.64
2022-37,22.02
2022-38,26.16
2022-39,16.87
2022-40,18.74
2022-41,24.62
2022-42,26.7
2022-43,14.09
2022-44,26.94
2022-45,15.47
2022-46,30.0
2022-47,13.64
2022-48,20.88
2022-49,25.47
2022-50,4.1
2022-51,7.17
2022-52,14.84
2023-0,14.43
2023-1,2.82
2023-2,10.4
2023-3,24.89
2023-4,24.41
2023-5,18.67
2023-6,4.13
2023-7,4.79
2023-8,28.07
2023-9,14.47
2023-10,8.42
2023-11,32.19
2023-12,29.19
2023-13,32.76
2023-14,16.23
2023-15,30.87
2023-16,19.35
2023-17,12.29
2023-18,27.57
2023-19,27.7
2023-20,19.96
2023-21,20.61
2023-22,3.62
2023-23,31.28
2023-24,18.04
2023-25,1.66
2023-26,15.12
2023-27,31.08
2023-28,13.0
2023-29,4.07
2023-30,25.3
2023-31,17.02
2023-32,23.18
2023-33,26.13
2023-34,30.99
2023-35,17.25
2023-36,15.69
2023-37,28.74
2023-38,8.82
2023-39,4.61
2023-40,28.58
2023-41,21.18
2023-42,34.16
2023-43,24.32
2023-44,23.8
2023-45,6.7
2023-46,3.03
2023-47,25.63
2023-48,26.64
2023-49,16.26
2023-50,20.32
2023-51,20.58
2023-52,1.26
2024-0,16.03
2024-1,5.36
2024-2,12.87
2024-3,0.0
2024-4,0.0
2024-5,0.0
2024-6,10.74
2024-7,37.16
2024-8,31.19
2024-9,8.16
2024-10,5.19
2024-11,8.43
2024-12,15.45
2024-13,29.79
2024-14,23.52
2024-15,0.0
