,hours
2023-1,9.11
2023-2,11.27
2023-3,32.24
2023-4,36.63
2023-5,23.56
2023-6,26.44
2023-7,22.14
2023-8,33.24
2023-9,34.93
2023-10,24.08
2023-11,29.77
2023-12,30.33
2023-13,25.83
2023-14,31.57
2023-15,31.69
2023-16,35.55
2023-17,37.13
2023-18,27.67
2023-19,24.56
2023-20,35.87
2023-21,16.74
2023-22,22.68
2023-23,21.03
2023-24,21.26
2023-25,26.08
2023-26,2.89
2023-27,3.49
2023-28,19.56
2023-29,35.56
2023-30,21.85
2023-31,21.95
2023-32,16.11
2023-33,25.64
2023-34,21.78
2023-35,10.1
2023-36,9.38
2023-37,43.23
2023-38,19.2
2023-39,5.42
2023-40,22.16
2023-41,14.18
2023-42,5.4
2023-43,19.21
2023-44,20.33
2023-45,20.94
2023-46,19.72
2023-47,17.55
2023-48,16.26
2023-49,18.81
2023-50,6.34
2023-51,18.43
2023-52,3.04
2024-0,14.77
2024-1,17.17
2024-2,13.28
2024-3,23.13
2024-4,19.52
2024-5,28.23
2024-6,25.73
2024-7,13.76
2024-8,4.51
