,hours
2019-52,1.93
2020-0,10.04
2020-1,11.06
2020-2,13.4
2020-3,26.21
2020-4,19.14
2020-5,14.63
2020-6,27.99
2020-7,20.48
2020-8,12.04
2020-9,18.65
2020-10,18.34
2020-11,18.51
2020-12,35.01
2020-13,26.37
2020-14,23.28
2020-15,25.12
2020-16,24.24
2020-17,25.77
2020-18,26.28
2020-19,29.97
2020-20,33.31
2020-21,39.27
2020-22,38.11
2020-23,27.57
2020-24,27.94
2020-25,20.69
2020-26,24.91
2020-27,14.75
2020-28,31.25
2020-29,34.95
2020-30,40.53
2020-31,42.63
2020-32,33.85
2020-33,29.74
2020-34,24.86
2020-35,28.72
2020-36,23.48
2020-37,19.52
2020-38,21.03
2020-39,20.13
2020-40,19.29
2020-41,23.62
2020-42,17.45
2020-43,23.08
2020-44,21.15
2020-45,29.48
2020-46,29.68
2020-47,25.01
2020-48,14.77
2020-49,29.13
2020-50,24.29
2020-51,16.89
2020-52,19.91
2021-0,7.59
2021-1,27.41
2021-2,39.58
2021-3,14.4
2021-4,42.48
2021-5,28.26
2021-6,29.46
2021-7,34.84
2021-8,28.82
2021-9,31.83
2021-10,42.29
2021-11,21.56
2021-12,35.97
2021-13,34.1
2021-14,34.51
2021-15,19.14
2021-16,30.81
2021-17,33.32
2021-18,26.16
2021-19,27.8
2021-20,29.78
2021-21,23.72
2021-22,39.57
2021-23,27.55
2021-24,44.02
2021-25,31.42
2021-26,23.55
2021-27,26.18
2021-28,51.49
2021-29,35.61
2021-30,34.87
2021-31,27.48
2021-32,25.8
2021-33,19.54
2021-34,29.88
2021-35,24.09
2021-36,23.04
2021-37,23.53
2021-38,18.16
2021-39,20.23
2021-40,29.97
2021-41,17.08
2021-42,31.86
2021-43,30.95
2021-44,31.23
2021-45,19.46
2021-46,30.9
2021-47,27.4
2021-48,28.68
2021-49,33.19
2021-50,37.97
2021-51,28.32
2021-52,26.75
2022-0,11.26
2022-1,30.97
2022-2,43.94
2022-3,26.62
2022-4,26.44
2022-5,20.17
2022-6,39.96
2022-7,23.66
2022-8,32.6
2022-9,38.81
2022-10,28.3
2022-11,28.19
2022-12,21.13
2022-13,15.08
2022-14,39.97
2022-15,34.33
2022-16,29.93
2022-17,25.02
2022-18,34.04
2022-19,19.62
2022-20,24.66
2022-21,25.83
2022-22,31.43
2022-23,31.62
2022-24,18.88
2022-25,18.78
2022-26,26.98
2022-27,28.6
2022-28,24.34
2022-29,19.11
2022-30,19.07
2022-31,34.12
2022-32,34.37
2022-33,22.01
2022-34,20.5
2022-35,33.21
2022-36,28.16
2022-37,26.76
2022-38,21.89
2022-39,21.84
2022-40,26.86
2022-41,23.97
2022-42,19.95
2022-43,19.85
2022-44,23.28
2022-45,34.07
2022-46,36.53
2022-47,11.93
2022-48,17.81
2022-49,27.84
2022-50,34.72
2022-51,17.85
2022-52,18.32
2023-0,32.32
2023-1,23.7
2023-2,23.85
2023-3,31.77
2023-4,26.27
2023-5,27.82
2023-6,20.95
2023-7,33.43
2023-8,31.09
2023-9,30.22
2023-10,33.76
2023-11,38.68
2023-12,27.8
2023-13,24.04
2023-14,29.28
2023-15,17.16
2023-16,18.14
2023-17,31.63
2023-18,33.41
2023-19,17.46
2023-20,13.31
2023-21,38.4
2023-22,23.74
2023-23,24.8
2023-24,22.86
2023-25,17.48
2023-26,34.84
2023-27,20.64
2023-28,24.5
2023-29,18.98
2023-30,32.42
2023-31,28.97
2023-32,29.34
2023-33,19.36
2023-34,33.25
2023-35,16.23
2023-36,19.07
2023-37,25.62
2023-38,26.09
2023-39,14.4
2023-40,18.79
2023-41,19.12
2023-42,20.26
2023-43,20.08
2023-44,15.71
2023-45,18.37
2023-46,12.42
2023-47,22.8
2023-48,22.52
2023-49,14.29
2023-50,21.67
2023-51,24.93
2023-52,0.0
2023-53,0.0
